Index,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff,Index_Beta_to_SPY,Beta_to_SPY,Return,Index_Return,Idio_Return,Percent_Days
Stock,,,,,,,,,,,
A,1.2205770769746072,0.6792674753638366,0.20089826593533025,8.135904585925235e-05,1.0,1.0,1.2205770769746072,0.4676669484361793,0.2993375589763141,0.07492679132162072,0.9733333333333334
AAL,1.3340717051742546,0.47873697798898524,0.32165495407421973,8.135904585925235e-05,1.0,1.0,1.3340717051742546,0.22238163558106172,0.2993375589763141,-0.12645705434843135,0.9733333333333334
AAP,0.9103299348915579,0.29369847001833166,0.29621482081238626,8.135904585925235e-05,1.0,1.0,0.9103299348915579,-0.2914697542533081,0.2993375589763141,-0.4431964589000089,0.9733333333333334
AAPL,1.0942939112229038,0.6015699215679103,0.21835447131809307,8.135904585925235e-05,1.0,1.0,1.0942939112229038,0.8729764624093754,0.2993375589763141,0.41083781638946837,0.9733333333333334
ABBV,1.156709561725303,0.5030441344195433,0.2627130150996786,8.135904585925235e-05,1.0,1.0,1.156709561725303,0.6743812279009966,0.2993375589763141,0.2437403423644382,0.9733333333333334
ABC,1.011711293246893,0.37548068358544434,0.23572255813614545,8.135904585925235e-05,1.0,1.0,1.011711293246893,0.05079825834542806,0.2993375589763141,-0.193457610792648,0.9733333333333334
ABT,1.0505901108843363,0.6466812767460389,0.19074318305511936,8.135904585925235e-05,1.0,1.0,1.0505901108843363,0.42299651567944263,0.2993375589763141,0.08255382151439972,0.9733333333333334
ACN,1.0780677637345846,0.6703963190799092,0.17988541510682748,8.135904585925235e-05,1.0,1.0,1.0780677637345846,0.4480088495575223,0.2993375589763141,0.0947320571463055,0.9733333333333334
ADBE,1.3075503090956742,0.6506200866781072,0.2194985432471956,8.135904585925235e-05,1.0,1.0,1.3075503090956742,1.4716942571019822,0.2993375589763141,0.7764095009323833,0.9733333333333334
ADI,1.215951737683857,0.5973732753446472,0.24116996287437947,8.135904585925235e-05,1.0,1.0,1.215951737683857,0.5088805605344631,0.2993375589763141,0.1062336199125018,0.9733333333333334
ADM,0.6925567435041843,0.3826979499740262,0.22015838241946348,8.135904585925235e-05,1.0,1.0,0.6925567435041843,0.02805049088359035,0.2993375589763141,-0.14847720530695885,0.9733333333333334
ADP,0.9823705204157546,0.5902523683917891,0.17550389885866713,8.135904585925235e-05,1.0,1.0,0.9823705204157546,0.4888343271366773,0.2993375589763141,0.150513789394757,0.9733333333333334
ADS,1.1558179002250855,0.5139468194850149,0.24572083240450268,8.135904585925235e-05,1.0,1.0,1.1558179002250855,-0.0868591994382022,0.2993375589763141,-0.3215790739331751,0.9733333333333334
ADSK,1.5751514118736636,0.5599583164418832,0.29403461764798466,8.135904585925235e-05,1.0,1.0,1.5751514118736636,1.291169049621531,0.2993375589763141,0.5570275017408239,0.9733333333333334
AEP,0.28379227550328096,0.21905069429480387,0.1533801295225909,8.135904585925235e-05,1.0,1.0,0.28379227550328096,0.040433772269558466,0.2993375589763141,-0.04103039548201859,0.9733333333333334
AES,0.7044687113765619,0.3240079480834106,0.25005277938882975,8.135904585925235e-05,1.0,1.0,0.7044687113765619,0.07242582897033145,0.2993375589763141,-0.11433734791650951,0.9733333333333334
AET,0.6283401232524725,0.40040581742297493,0.21660520418222565,8.135904585925235e-05,1.0,1.0,0.6283401232524725,0.546984323797715,0.2993375589763141,0.3020813189491578,0.9733333333333334
AFL,0.7502654446371471,0.5935333587137613,0.1509394417397835,8.135904585925235e-05,1.0,1.0,0.7502654446371471,0.3566286742651468,0.2993375589763141,0.10782943069360962,0.9733333333333334
AGN,0.9132137654400525,0.39938510426266227,0.2684072022559938,8.135904585925235e-05,1.0,1.0,0.9132137654400525,-0.381858407079646,0.2993375589763141,-0.5145583406985049,0.9733333333333334
AIG,0.7424979871204557,0.47107120974585465,0.18342327830500837,8.135904585925235e-05,1.0,1.0,0.7424979871204557,0.007242233657328123,0.2993375589763141,-0.17591652756754816,0.9733333333333334
AIV,0.4848110106579746,0.31234475463487116,0.1811120926058708,8.135904585925235e-05,1.0,1.0,0.4848110106579746,-0.058077898133210515,0.2993375589763141,-0.17744835658381652,0.9733333333333334
AIZ,0.888916328864424,0.4984859360756624,0.19737323259521306,8.135904585925235e-05,1.0,1.0,0.888916328864424,0.09819413092550788,0.2993375589763141,-0.1326070324243872,0.9733333333333334
AJG,0.8292419094852523,0.6330891193234068,0.14572991925594259,8.135904585925235e-05,1.0,1.0,0.8292419094852523,0.47542391071045276,0.2993375589763141,0.18201925169140676,0.9733333333333334
AKAM,1.070748308302719,0.4201176643042095,0.30512681497456673,8.135904585925235e-05,1.0,1.0,1.070748308302719,0.5099940629329109,0.2993375589763141,0.14348860218824955,0.9733333333333334
ALB,1.1789051420090635,0.45572550289573965,0.2882394936713406,8.135904585925235e-05,1.0,1.0,1.1789051420090635,0.19616411750424878,0.2993375589763141,-0.11584563557503902,0.9733333333333334
ALGN,1.5978548792070673,0.5320181081792067,0.2982433272237508,8.135904585925235e-05,1.0,1.0,1.5978548792070673,2.2135726303982053,0.2993375589763141,1.1738327967323525,0.9733333333333334
ALK,0.9694382577136533,0.38760500792526187,0.27775025331403014,8.135904585925235e-05,1.0,1.0,0.9694382577136533,-0.071340902117214,0.2993375589763141,-0.28021484049168777,0.9733333333333334
ALL,0.6870234292519857,0.49183548846784136,0.1538606251686946,8.135904585925235e-05,1.0,1.0,0.6870234292519857,0.45501207729468596,0.2993375589763141,0.20682599816532754,0.9733333333333334
ALLE,1.00018534111582,0.5772106216476216,0.1918877652181622,8.135904585925235e-05,1.0,1.0,1.00018534111582,0.08280790248003367,0.2993375589763141,-0.16668177343623947,0.9733333333333334
ALXN,1.216660001998642,0.35648622972025246,0.35459244577048676,8.135904585925235e-05,1.0,1.0,1.216660001998642,-0.06951788491446342,0.2993375589763141,-0.31792438957049163,0.9733333333333334
AMAT,1.7970772124172991,0.6384519810894514,0.2783150987604927,8.135904585925235e-05,1.0,1.0,1.7970772124172991,1.12888198757764,0.2993375589763141,0.38424911518775007,0.9733333333333334
AMD,1.8437578265774408,0.36833534139623825,0.5623508420723384,8.135904585925235e-05,1.0,1.0,1.8437578265774408,0.7419825072886295,0.2993375589763141,0.12247941831578091,0.9733333333333334
AME,1.0375818144565911,0.6672464261879258,0.1756831282956619,8.135904585925235e-05,1.0,1.0,1.0375818144565911,0.6088172043010753,0.2993375589763141,0.2275544847371438,0.9733333333333334
AMG,1.3632625699976284,0.6438536783463017,0.25878715923437057,8.135904585925235e-05,1.0,1.0,1.3632625699976284,0.13167113125901486,0.2993375589763141,-0.19629950340118552,0.9733333333333334
AMGN,1.1273734260271464,0.6016990662356165,0.22327411660438706,8.135904585925235e-05,1.0,1.0,1.1273734260271464,0.060175588342884945,0.2993375589763141,-0.20732473570873766,0.9733333333333334
AMT,0.5437012628768452,0.32262174959490614,0.18067745132610324,8.135904585925235e-05,1.0,1.0,0.5437012628768452,0.24281750648885714,0.2993375589763141,0.06886027371838566,0.9733333333333334
AMZN,1.173688581396518,0.5822444041445525,0.263901574532983,8.135904585925235e-05,1.0,1.0,1.173688581396518,1.1123996784438797,0.2993375589763141,0.56320153069777,0.9733333333333334
ANDV,1.0355764069609685,0.4403917754548962,0.3063642252165427,8.135904585925235e-05,1.0,1.0,1.0355764069609685,0.9247459489151333,0.2993375589763141,0.4692863941227454,0.9733333333333334
ANSS,1.0681020713684595,0.6020014024948865,0.18886883742405522,8.135904585925235e-05,1.0,1.0,1.0681020713684595,0.9262533572068039,0.2993375589763141,0.4595890650795782,0.9733333333333334
ANTM,0.9390902372505494,0.4845438116230623,0.21918838021727324,8.135904585925235e-05,1.0,1.0,0.9390902372505494,0.815301572400845,0.2993375589763141,0.41698112314357516,0.9733333333333334
AON,0.8009545782292228,0.5977648397496184,0.15390049945008827,8.135904585925235e-05,1.0,1.0,0.8009545782292228,0.37215503285401397,0.2993375589763141,0.10679461697673176,0.9733333333333334
AOS,1.2770152156425347,0.7393049069121133,0.21130164740632848,8.135904585925235e-05,1.0,1.0,1.2770152156425347,0.403905221588416,0.2993375589763141,0.01566031413331115,0.9733333333333334
APA,1.1110876633570381,0.36174157001529256,0.378559107854307,8.135904585925235e-05,1.0,1.0,1.1110876633570381,-0.1827511347937637,0.2993375589763141,-0.38672157208135927,0.9733333333333334
APC,1.0887030280592456,0.4109760528116688,0.35236313192931645,8.135904585925235e-05,1.0,1.0,1.0887030280592456,0.26523430264863856,0.2993375589763141,-0.0457469455464391,0.9733333333333334
APD,0.9608345222573028,0.6839922645734545,0.17462856006061392,8.135904585925235e-05,1.0,1.0,0.9608345222573028,0.2738624176497626,0.2993375589763141,-0.010679787819201647,0.9733333333333334
APH,0.9731474634655328,0.7330676654298768,0.16515115907463598,8.135904585925235e-05,1.0,1.0,0.9731474634655328,0.5011090257635216,0.2993375589763141,0.16247928967207548,0.9733333333333334
APTV,1.2484876541131407,0.5335142222289283,0.2652919994881183,8.135904585925235e-05,1.0,1.0,1.2484876541131407,0.747548129313476,0.2993375589763141,0.2721290273769912,0.9733333333333334
ARE,0.7115129863869003,0.43451326050030636,0.17614812955927553,8.135904585925235e-05,1.0,1.0,0.7115129863869003,0.1997751124437781,0.2993375589763141,-0.010888407229455721,0.9733333333333334
ARNC,1.5871724800778135,0.5082537160077342,0.36780213392153915,8.135904585925235e-05,1.0,1.0,1.5871724800778135,-0.21668099742046443,0.2993375589763141,-0.4689723922255179,0.9733333333333334
ATVI,1.3824350747841958,0.564161557439833,0.27087243471796857,8.135904585925235e-05,1.0,1.0,1.3824350747841958,0.8055905313523042,0.2993375589763141,0.2771054646248181,0.9733333333333334
AVB,0.4843766492458805,0.3392094696593488,0.16552748193396805,8.135904585925235e-05,1.0,1.0,0.4843766492458805,-0.05272147574584374,0.2993375589763141,-0.17267682060402845,0.9733333333333334
AVGO,1.232276064471208,0.5268266814553502,0.29540752394235387,8.135904585925235e-05,1.0,1.0,1.232276064471208,0.5567353204554175,0.2993375589763141,0.1372440702431439,0.9733333333333334
AVY,0.908662590118196,0.5690879607828702,0.1875773589450721,8.135904585925235e-05,1.0,1.0,0.908662590118196,0.43045037863690716,0.2993375589763141,0.12457070001145532,0.9733333333333334
AWK,0.5390442599309094,0.37195534496372695,0.15947781584089477,8.135904585925235e-05,1.0,1.0,0.5390442599309094,0.053109625331146715,0.2993375589763141,-0.09320703525246576,0.9733333333333334
AXP,1.1142439281360228,0.671329957868049,0.1913690702727118,8.135904585925235e-05,1.0,1.0,1.1142439281360228,0.6185764443025854,0.2993375589763141,0.21374870134523238,0.9733333333333334
AYI,1.037231450011108,0.35441224281245176,0.2946163161374822,8.135904585925235e-05,1.0,1.0,1.037231450011108,-0.5620667202880232,0.2993375589763141,-0.6658228275398208,0.9733333333333334
AZO,0.6987458325450893,0.3255292181224593,0.20191973353105278,8.135904585925235e-05,1.0,1.0,0.6987458325450893,-0.18810275562981438,0.2993375589763141,-0.3285448915312611,0.9733333333333334
