date,FEZ,EZU,VGK,HEDJ,EWU,EWI,EWP,EWQ,EWL,EWD,VEU,ACWI,VXUS,DGT,XLP,FXG,VDC,ECON,IYK,RWO,RWX,RWR,IYR,VNQ,GLD,SLV,IAU,XLY,XRT,FXD,VCR,RTH,IYC,XLB,XHB,XME,IGE,MOO,LIT,GUNR,UNG,BNO,OIL,BND,AGG,JNK,LQD,IDU,XLU,VPU,IWM,IJR,VB,XLV,XBI,IBB,MDY,IJH,VO,IWR,SIL,GDX,GDXJ,XLE,XOP,VDE,IYE,IXC,OIH,XLF,KBE,KIE,IYG,KRE,EWZ,EWW,ECH,FM,EEM,VWO,TLT,IEF,IEI,SHY,BIL,MINT,EWT,EWY,EWA,EWS,AAXJ,FXI,EWH,EWM,EPI,INDA,RSX,XLK,SMH,HACK,FDN,IYZ,IXP,VOX,XLI,IYT,VIS,IYJ,SPY,IVV,VOO,IWB
2018-05-10,41.87,44.81,60.14,66.68,36.72,33.41,33.85,32.8,34.36,34.45,55.29,73.53,57.53,85.74,49.54,45.82,129.12,26.0,114.02,47.84,40.7,90.39,77.96,78.57,125.18,15.74,12.67,104.67,45.14,40.51,163.43,95.23,186.46,58.97,39.53,36.75,37.06,62.74,33.96,34.85,22.88,21.54,1820.06,78.85,105.81,35.83,115.06,127.75,50.31,112.44,159.52,81.0,153.0,81.81,89.04,103.73,352.55,193.64,157.83,211.48,31.16,22.94,34.1,76.66,41.58,105.58,42.16,38.39,28.18,28.27,49.67,30.56,136.38,63.74,41.85,48.56,53.02,32.25,47.48,46.28,118.93,101.4,119.25,83.16,91.48,101.49,37.07,75.01,22.88,27.48,77.39,48.01,26.08,32.99,26.33,34.35,21.67,69.98,105.22,38.2,132.79,27.4,56.9,83.43,74.6,191.16,139.97,146.85,272.0,273.84,249.86,151.57
2018-05-09,41.58,44.46,59.83,66.59,36.65,33.52,33.57,32.5,34.34,34.16,54.77,72.79,56.94,85.3,49.25,45.59,128.28,25.68,113.1,47.58,40.44,89.78,77.25,77.94,124.33,15.53,12.6,104.29,45.2,40.33,162.86,95.08,185.83,58.49,39.25,36.22,36.77,62.22,33.77,34.42,22.3,21.52,0.16,78.69,105.57,35.75,114.48,126.11,49.61,111.0,158.68,80.57,152.22,80.73,89.8,103.79,349.95,192.19,156.64,209.88,30.57,22.63,33.42,76.05,41.39,104.81,41.84,38.02,28.13,28.05,49.56,30.4,135.33,63.59,40.48,47.3,51.68,32.1,46.51,45.37,117.98,101.19,119.17,83.16,91.48,101.46,36.35,73.39,22.61,27.1,76.11,47.42,25.78,32.42,26.23,34.21,21.12,69.08,103.5,37.91,131.4,27.13,56.62,82.0,74.05,189.26,139.13,145.86,269.5,271.44,247.54,150.22
2018-05-08,41.43,44.42,59.45,66.31,36.08,33.53,33.36,32.46,34.22,33.4,54.62,72.37,56.88,84.6,49.18,45.25,128.05,25.68,112.66,47.35,40.55,89.05,76.78,77.42,124.59,15.51,12.62,103.93,44.75,40.24,162.37,94.41,185.42,57.66,39.68,36.09,36.16,62.11,33.68,34.03,22.33,21.06,1794.84,78.78,105.69,35.7,114.5,126.93,49.96,111.66,157.83,80.12,151.17,80.27,88.07,102.41,348.23,191.22,155.36,208.3,30.57,22.68,33.41,74.53,40.67,102.82,41.03,37.21,27.59,27.64,49.07,30.41,133.36,62.99,40.11,47.54,51.21,32.18,46.42,45.31,118.69,101.42,119.31,83.2,91.48,101.47,36.25,73.35,22.51,27.25,76.04,46.97,25.65,34.5,26.22,34.14,21.08,68.24,102.05,37.39,128.58,27.24,56.79,82.46,73.26,188.07,137.76,144.37,266.92,268.68,245.16,148.86
2018-05-07,41.64,44.52,59.5,65.93,36.1,34.01,33.39,32.56,34.28,33.1,54.58,72.34,56.73,84.49,49.38,45.43,128.61,25.66,113.25,47.51,40.52,89.52,77.16,77.81,124.57,15.52,12.62,104.37,44.78,40.34,163.06,94.66,186.06,57.78,39.59,36.2,35.93,62.03,33.76,34.07,22.3,20.98,0.16,78.84,105.81,35.74,114.54,129.96,51.24,114.34,157.05,79.44,150.59,80.88,88.5,103.0,347.07,190.62,155.12,208.08,30.73,22.65,33.34,73.95,39.85,101.82,40.65,37.16,27.33,27.45,48.64,30.41,132.1,62.43,40.1,47.58,51.99,32.5,46.16,45.08,118.8,101.59,119.4,83.19,91.47,101.46,35.94,73.47,22.61,27.3,75.47,46.29,25.28,34.27,26.19,34.25,20.88,68.09,101.34,36.92,127.79,27.31,57.22,83.49,72.74,186.66,136.81,143.4,266.92,268.79,245.17,148.81
2018-05-04,41.6,44.54,60.0,65.72,36.07,33.99,33.45,32.68,34.07,32.89,54.65,72.22,56.82,84.49,49.69,45.36,129.31,25.72,113.3,47.25,40.55,88.78,76.74,77.29,124.54,15.54,12.62,104.02,44.99,40.41,162.37,95.39,185.89,57.8,39.57,35.99,35.9,62.04,33.59,34.13,22.15,20.88,0.16,78.88,105.86,35.71,114.67,130.71,51.51,114.86,155.73,78.83,149.43,81.0,87.37,102.35,345.19,189.57,154.6,207.19,30.86,22.65,33.55,73.85,39.61,101.59,40.55,37.12,27.2,27.27,48.38,30.29,131.15,62.15,40.75,48.79,52.11,32.75,46.43,45.2,118.99,101.64,119.44,83.19,91.47,101.44,36.07,74.32,22.73,27.58,75.89,46.54,25.58,34.89,26.26,34.24,21.14,67.62,100.8,36.48,126.14,27.15,57.25,83.8,72.26,186.93,135.78,142.32,266.02,267.82,244.41,148.21
2018-05-03,41.53,44.42,59.35,65.42,35.98,33.78,33.36,32.72,34.03,32.73,54.45,71.62,56.65,83.68,48.98,44.57,127.33,25.51,111.68,47.03,40.6,87.9,75.94,76.45,124.28,15.46,12.59,102.67,44.71,39.98,160.34,94.69,183.33,57.09,39.12,35.15,35.59,61.47,33.17,33.92,22.31,20.54,0.16,78.83,105.79,35.69,114.51,129.97,51.28,114.38,153.81,77.87,147.47,80.36,85.92,101.28,340.59,187.05,152.91,204.74,30.7,22.65,33.48,73.49,38.89,100.92,40.28,36.88,26.87,26.92,47.77,29.92,129.86,61.36,40.73,49.38,52.45,32.52,46.22,44.98,118.81,101.63,119.44,83.22,91.45,101.43,35.74,74.47,22.7,27.72,75.53,46.45,25.63,34.8,26.33,34.36,20.96,66.36,98.25,36.09,124.69,26.97,57.02,83.09,71.43,184.77,134.18,140.69,262.62,264.4,241.21,146.31
2018-05-02,41.44,44.31,59.11,65.39,35.88,33.69,33.28,32.55,33.89,32.55,54.37,71.61,56.53,84.44,49.03,45.34,127.64,25.63,111.94,46.92,40.41,87.7,75.91,76.5,123.65,15.42,12.53,103.13,45.24,40.21,160.95,95.8,184.33,56.83,39.02,34.78,35.68,61.41,32.99,33.84,22.48,20.36,0.15,78.76,105.67,35.7,114.49,129.96,51.35,114.19,154.65,78.35,147.91,81.09,87.45,102.68,341.08,187.34,153.11,205.09,30.63,22.38,33.07,73.66,39.56,101.27,40.42,36.89,27.15,27.15,48.24,30.21,130.57,61.97,41.08,50.1,52.83,32.87,46.32,45.12,118.28,101.37,119.26,83.16,91.45,101.43,35.9,74.32,22.49,27.8,75.69,46.75,25.71,34.68,26.41,34.47,20.69,66.21,98.01,36.2,124.32,26.98,57.3,83.66,71.26,185.19,133.93,140.21,263.2,264.97,241.78,146.63
2018-05-01,41.37,44.2,59.07,65.1,36.07,33.42,33.04,32.57,33.92,32.62,54.48,71.91,56.68,84.59,50.01,46.36,129.98,25.97,113.37,47.27,40.73,88.27,76.17,76.78,123.71,15.24,12.53,103.84,45.06,40.48,161.88,96.19,185.75,56.96,39.47,34.49,35.54,61.71,33.1,33.74,22.83,20.4,7.61,78.75,105.67,35.7,114.58,130.05,51.4,114.34,154.07,78.16,147.9,82.22,87.91,104.05,341.71,187.68,154.03,206.29,30.37,22.31,32.71,73.36,39.2,100.72,40.23,36.87,26.91,27.46,48.39,30.95,131.17,62.1,41.77,50.91,53.14,33.44,46.69,45.42,118.41,101.35,119.18,83.13,91.44,101.42,36.15,75.2,22.3,27.79,76.09,46.88,25.7,34.73,26.68,34.84,20.88,66.28,98.72,36.14,124.56,27.15,57.9,83.62,71.89,187.06,134.85,141.28,264.98,266.83,243.44,147.57
2018-04-30,41.6,44.33,59.4,64.99,36.25,33.57,33.26,32.68,34.04,32.85,54.68,71.99,56.81,84.59,50.45,46.61,131.07,26.07,114.07,47.0,40.81,87.39,75.64,76.09,124.59,15.38,12.62,103.7,45.18,40.52,161.68,96.75,185.44,57.01,38.96,34.97,35.64,61.87,33.05,33.96,22.56,20.75,7.61,78.87,105.76,35.71,114.89,130.42,51.56,114.57,153.32,77.82,147.47,82.26,86.98,103.65,340.51,186.96,153.91,206.07,30.58,22.28,32.51,73.81,39.38,101.32,40.5,37.04,27.14,27.45,47.96,30.89,131.04,61.64,42.3,51.6,53.78,33.33,46.92,45.68,118.84,101.51,119.33,83.17,91.43,101.42,36.3,75.6,22.19,27.86,76.25,46.93,25.71,35.06,26.76,34.95,21.02,65.46,97.16,36.09,123.84,27.39,58.23,84.81,72.22,187.7,135.38,141.55,264.51,266.31,242.92,147.24
2018-04-27,41.69,44.58,59.69,64.92,36.34,33.72,33.34,32.78,34.21,33.46,54.88,72.41,57.09,84.97,50.77,47.11,131.93,26.24,115.11,47.05,40.75,87.72,75.87,76.39,125.5,15.57,12.71,104.11,45.72,41.02,162.39,97.35,185.84,57.76,39.76,35.15,35.67,62.64,33.17,34.19,22.6,20.5,7.61,78.83,105.74,35.71,114.99,130.8,51.71,114.97,154.69,78.52,148.77,83.54,88.42,105.61,344.1,188.97,155.16,207.74,30.94,22.73,33.03,73.82,38.93,101.34,40.49,37.04,27.22,27.7,48.73,31.21,131.93,62.64,43.06,51.67,54.47,33.4,47.26,45.99,118.63,101.4,119.27,83.2,91.44,101.4,36.28,76.09,22.38,27.75,76.51,46.87,25.46,35.54,26.78,34.95,21.29,65.89,98.09,36.11,123.96,27.9,58.81,87.45,73.19,190.01,137.26,143.18,266.56,268.39,244.92,148.48
