Stock,Bucket
A,4
AA,4
AAAP,4
AABA,4
AAC,4
AAL,4
AAN,4
AAOI,4
AAON,4
AAP,4
AAPL,4
AAT,4
AAV,4
AAWW,4
AAXN,4
AB,4
ABAX,4
ABB,4
ABBV,4
ABC,4
ABCB,4
ABDC,4
ABEO,4
ABEV,4
ABG,4
ABM,4
ABMD,4
ABR,4
ABT,4
ABUS,4
ACAD,4
ACC,4
ACCO,4
ACET,4
ACGL,4
ACH,4
ACHC,4
ACHN,4
ACIA,4
ACIW,4
ACLS,4
ACM,4
ACN,4
ACOR,4
ACRE,4
ACRS,4
ACRX,4
ACSF,4
ACTG,4
ACWI,4
ACXM,4
ADAP,4
ADBE,4
ADC,4
ADI,4
ADM,4
ADMP,4
ADMS,4
ADP,4
ADRO,4
ADS,4
ADSK,4
ADSW,4
ADTN,4
ADVM,4
ADXS,4
AEE,4
AEG,4
AEGN,4
AEIS,4
AEL,4
AEO,4
AEP,4
AER,4
AERI,4
AES,4
AET,4
AEZS,4
AFG,4
AFH,4
AFI,4
AFL,4
AFMD,4
AFSI,4
AG,4
AGCO,4
AGEN,4
AGFS,4
AGI,4
AGIO,4
AGM,4
AGN,4
AGO,4
AGR,4
AGRO,4
AGRX,4
AGTC,4
AGX,4
AGYS,4
AHC,4
AHGP,4
AHH,4
AHL,4
AHP,4
AHT,4
AI,4
AIG,4
AIMC,4
AIN,4
AINV,4
AIR,4
AIRG,4
AIT,4
AIV,4
AIZ,4
AJG,4
AJRD,4
AKAM,4
AKAO,4
AKBA,4
AKG,4
AKR,4
AKRX,4
AKS,4
AL,4
ALB,4
ALDR,4
ALDX,4
ALE,4
ALEX,4
ALG,4
ALGN,4
ALGT,4
ALIM,4
ALK,4
ALKS,4
ALL,4
ALLE,4
ALLT,4
ALLY,4
ALNY,4
ALOG,4
ALQA,4
ALRM,4
ALSK,4
ALSN,4
ALT,4
ALV,4
ALXN,4
AM,4
AMAG,4
AMAT,4
AMBA,4
AMBC,4
AMBR,4
AMC,4
AMCN,4
AMCX,4
AMD,4
AME,4
AMED,4
AMG,4
AMGN,4
AMH,4
AMID,4
AMKR,4
AMN,4
AMNB,4
AMOT,4
AMP,4
AMPH,4
AMRC,4
AMRN,4
AMRS,4
AMSC,4
AMSF,4
AMSWA,4
AMT,4
