Index,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff,Index_Beta_to_SPY,Beta_to_SPY
Stock,,,,,,,
ABAX,1.1040964946764416,0.35879765643541456,0.21373321302165335,7.32825002391142e-05,1.0,1.0,1.1040964946764416
ABBV,1.112674527893657,0.4950924795681643,0.16021009529656755,7.32825002391142e-05,1.0,1.0,1.112674527893657
ABC,1.0334790498888962,0.38723207476153854,0.1721403580478752,7.32825002391142e-05,1.0,1.0,1.0334790498888962
ABEO,1.6440782226859318,0.21130822977605127,0.4967995089229238,7.32825002391142e-05,1.0,1.0,1.6440782226859318
ABMD,1.2434024085383142,0.4813172231401064,0.19001701723614506,7.32825002391142e-05,1.0,1.0,1.2434024085383142
ABT,1.0357733414629835,0.6344018231357531,0.12112592739042612,7.32825002391142e-05,1.0,1.0,1.0357733414629835
ACAD,1.9165943105478624,0.4062587596485619,0.3704448515960931,7.32825002391142e-05,1.0,1.0,1.9165943105478624
ACHC,1.0226326307802998,0.32478743308834074,0.2263246086094731,7.32825002391142e-05,1.0,1.0,1.0226326307802998
ACOR,1.7784378995836294,0.3538947053178808,0.34120329864288523,7.32825002391142e-05,1.0,1.0,1.7784378995836294
ADAP,1.1333853838536714,0.20583084038520633,0.41034966042378984,7.32825002391142e-05,1.0,1.0,1.1333853838536714
ADMS,1.4895610904432501,0.30440204138053406,0.36717740920029246,7.32825002391142e-05,1.0,1.0,1.4895610904432501
AERI,1.1709287094590386,0.28807655478336436,0.36129693074415326,7.32825002391142e-05,1.0,1.0,1.1709287094590386
AET,0.6424440356022457,0.3969462207352533,0.125034150777734,7.32825002391142e-05,1.0,1.0,0.6424440356022457
AGIO,1.895390722123592,0.38477752055391123,0.3961122087257033,7.32825002391142e-05,1.0,1.0,1.895390722123592
AGN,0.86605755651806,0.37782877370978885,0.1694708912926297,7.32825002391142e-05,1.0,1.0,0.86605755651806
AKRX,0.6461975264114871,0.18287775642257512,0.3509200925218583,7.32825002391142e-05,1.0,1.0,0.6461975264114871
ALDR,1.7051114215275207,0.29281933918184444,0.4193133831971258,7.32825002391142e-05,1.0,1.0,1.7051114215275207
ALGN,1.5617270233952896,0.521183114059235,0.20039026197768248,7.32825002391142e-05,1.0,1.0,1.5617270233952896
ALKS,1.4501627769172794,0.382938823571121,0.29885345799660906,7.32825002391142e-05,1.0,1.0,1.4501627769172794
ALNY,1.7486379593480448,0.3582548887633034,0.40626193449323306,7.32825002391142e-05,1.0,1.0,1.7486379593480448
ALXN,1.1810306663877383,0.3546838404909335,0.23875188631351543,7.32825002391142e-05,1.0,1.0,1.1810306663877383
AMED,0.9003869561572124,0.31394447965992184,0.21945413913791814,7.32825002391142e-05,1.0,1.0,0.9003869561572124
AMGN,1.1353679804229257,0.6032028614907544,0.13403714018298385,7.32825002391142e-05,1.0,1.0,1.1353679804229257
AMN,0.926072924165864,0.3070761843764222,0.21983943335241352,7.32825002391142e-05,1.0,1.0,0.926072924165864
AMPH,1.1264813455220064,0.30367394475235826,0.257456017300856,7.32825002391142e-05,1.0,1.0,1.1264813455220064
ANAB,1.0114983723210005,0.20574671180765236,0.3563180659131887,7.32825002391142e-05,1.0,1.0,1.0114983723210005
ANTM,0.9672834965078735,0.4955633449196909,0.14086158859455872,7.32825002391142e-05,1.0,1.0,0.9672834965078735
ARNA,1.353333543451749,0.26992596684014464,0.37520278753598946,7.32825002391142e-05,1.0,1.0,1.353333543451749
ARRY,1.6435294616317797,0.29382408947298205,0.3833802436866085,7.32825002391142e-05,1.0,1.0,1.6435294616317797
ASMB,0.8278054282488517,0.16450354272848483,0.35972927771587565,7.32825002391142e-05,1.0,1.0,0.8278054282488517
ASND,0.7773369317689106,0.20315568297037623,0.2677992843758902,7.32825002391142e-05,1.0,1.0,0.7773369317689106
ATHN,0.8519798502439733,0.23062412793430784,0.24261905659624444,7.32825002391142e-05,1.0,1.0,0.8519798502439733
ATRA,2.0480115764844378,0.31215011378768304,0.4713208002348948,7.32825002391142e-05,1.0,1.0,2.0480115764844378
AVXS,1.1591108545204682,0.2298803474602837,0.39255948042932276,7.32825002391142e-05,1.0,1.0,1.1591108545204682
AXDX,1.572681529864124,0.35967901654630596,0.32255265586166415,7.32825002391142e-05,1.0,1.0,1.572681529864124
AXGN,1.1632105601778089,0.2692548260579857,0.26142058421866293,7.32825002391142e-05,1.0,1.0,1.1632105601778089
AZN,0.6221303243422662,0.32816021545991336,0.13965336620904048,7.32825002391142e-05,1.0,1.0,0.6221303243422662
BABY,1.1076151379758739,0.388111962475107,0.2189013045692879,7.32825002391142e-05,1.0,1.0,1.1076151379758739
BAX,0.9290724963653141,0.5782270488496611,0.11442848574959517,7.32825002391142e-05,1.0,1.0,0.9290724963653141
BDX,0.9139999478089421,0.559458303974178,0.11028987163156223,7.32825002391142e-05,1.0,1.0,0.9139999478089421
BEAT,1.3517444997885473,0.3404488079341481,0.27867709046325384,7.32825002391142e-05,1.0,1.0,1.3517444997885473
BGNE,1.0887306375760215,0.20878800710602977,0.3409683495605465,7.32825002391142e-05,1.0,1.0,1.0887306375760215
BIIB,1.0850478850165561,0.4409777528930884,0.1812579629610751,7.32825002391142e-05,1.0,1.0,1.0850478850165561
BIO,0.9150932029950903,0.4711462094587398,0.13010421624341048,7.32825002391142e-05,1.0,1.0,0.9150932029950903
BKD,0.788769882417254,0.21445557566068005,0.2849704848174118,7.32825002391142e-05,1.0,1.0,0.788769882417254
BLUE,1.790911696577497,0.31417021046325017,0.41792398884210735,7.32825002391142e-05,1.0,1.0,1.790911696577497
BMRN,1.15973037365366,0.42585179980943316,0.23104302825011647,7.32825002391142e-05,1.0,1.0,1.15973037365366
BMY,0.7148114725238256,0.32462182187026467,0.15341762168473116,7.32825002391142e-05,1.0,1.0,0.7148114725238256
BPMC,1.4105218845742276,0.2691406620604876,0.3673461214763419,7.32825002391142e-05,1.0,1.0,1.4105218845742276
BSX,1.0794943906827335,0.592909643529846,0.1334313289769152,7.32825002391142e-05,1.0,1.0,1.0794943906827335
CAH,0.9130125564323713,0.4006997274795091,0.15793939989726796,7.32825002391142e-05,1.0,1.0,0.9130125564323713
CBM,0.9750036716415847,0.3111341721149749,0.22934853684748324,7.32825002391142e-05,1.0,1.0,0.9750036716415847
CBPO,0.8895720660907175,0.2869493503703075,0.22853163381850844,7.32825002391142e-05,1.0,1.0,0.8895720660907175
CELG,1.0511710223069994,0.4291649489526218,0.17798394803043044,7.32825002391142e-05,1.0,1.0,1.0511710223069994
CERN,0.9419550752918665,0.46173031345747795,0.14671012487887747,7.32825002391142e-05,1.0,1.0,0.9419550752918665
CHE,0.8565124701732065,0.4699744081241722,0.12831909913566422,7.32825002391142e-05,1.0,1.0,0.8565124701732065
CLLS,1.323971422192423,0.2787029016502458,0.3393896314918946,7.32825002391142e-05,1.0,1.0,1.323971422192423
CLVS,1.1074332053796532,0.19733924959982896,0.4288630859947839,7.32825002391142e-05,1.0,1.0,1.1074332053796532
CMD,1.2215367159647077,0.5171577065536599,0.16017954124671974,7.32825002391142e-05,1.0,1.0,1.2215367159647077
CNC,1.1309205537015579,0.41221746126134545,0.19432541110172208,7.32825002391142e-05,1.0,1.0,1.1309205537015579
CNMD,0.8430980510456346,0.4294925765642635,0.14604318357745627,7.32825002391142e-05,1.0,1.0,0.8430980510456346
CO,0.30390686946077733,0.0675007963844347,0.2609239544022911,7.32825002391142e-05,1.0,1.0,0.30390686946077733
COLL,1.698436362306997,0.27408422211764116,0.43011543938524216,7.32825002391142e-05,1.0,1.0,1.698436362306997
COO,0.8500479375796046,0.4538475975098856,0.13135512797031434,7.32825002391142e-05,1.0,1.0,0.8500479375796046
CORT,1.5269166485939634,0.2946275324282998,0.33276160880273453,7.32825002391142e-05,1.0,1.0,1.5269166485939634
CRL,1.0132668661882906,0.5161173854573972,0.14144620437456754,7.32825002391142e-05,1.0,1.0,1.0132668661882906
CRSP,1.4030510396769473,0.2153137945430811,0.43513672063972136,7.32825002391142e-05,1.0,1.0,1.4030510396769473
CRY,1.2610872285687114,0.3772656291348382,0.21295960180191073,7.32825002391142e-05,1.0,1.0,1.2610872285687114
CTLT,1.2218009165508066,0.4801294621789387,0.19574478867383657,7.32825002391142e-05,1.0,1.0,1.2218009165508066
CTMX,1.2587641873932747,0.2567334126350551,0.35108333536461006,7.32825002391142e-05,1.0,1.0,1.2587641873932747
DBVT,0.7589689171800784,0.2700452480001332,0.251928165963565,7.32825002391142e-05,1.0,1.0,0.7589689171800784
DGX,0.8629581406208884,0.5712854506644873,0.10650657314159019,7.32825002391142e-05,1.0,1.0,0.8629581406208884
DVA,0.7501368298003904,0.3373492680189011,0.14848028143398714,7.32825002391142e-05,1.0,1.0,0.7501368298003904
DVAX,1.3330139765398656,0.20519423586050478,0.5774380466712086,7.32825002391142e-05,1.0,1.0,1.3330139765398656
EBS,1.4238528463267512,0.42569809803872755,0.243201951642459,7.32825002391142e-05,1.0,1.0,1.4238528463267512
