Strike,Bid,Midpoint,Ask,IV,Delta
88.0,8.25,8.40,8.55,0.6593000000000001,0.95159
89.0,7.70,7.80,7.90,0.5012,0.95944
90.0,7.05,7.15,7.25,0.33490000000000003,0.97513
91.0,6.45,6.55,6.65,0.2419,0.96694
92.0,5.90,5.95,6.00,0.1334,0.96069
93.0,5.30,5.38,5.45,0.0816,0.63344
94.0,4.80,4.88,4.95,0.11470000000000001,0.06206
95.0,4.35,4.43,4.50,0.21100000000000002,0.03672
96.0,3.85,3.90,3.95,0.2994,0.02705
97.0,3.40,3.45,3.50,0.38299999999999995,0.02178
98.0,3.00,3.08,3.15,0.4633,0.01841
99.0,2.55,2.65,2.74,0.5409,0.01605
