Strike,Bid,Midpoint,Ask,IV,Delta
22.5,24.3,26.55,28.8,0.8134999999999999,0.97155
25.0,22.1,24.35,26.6,0.8327,0.95047
30.0,18.9,20.2,21.5,0.8318000000000001,0.8974
35.0,13.9,16.15,18.4,0.7737,0.83612
40.0,11.5,12.8,14.1,0.7592,0.75205
45.0,9.7,10.1,10.5,0.7591,0.65881
50.0,7.4,8.05,8.7,0.7723,0.5678
55.0,5.6,6.2,6.8,0.7633,0.47963
60.0,4.3,4.8,5.3,0.7618,0.40051
65.0,3.2,3.75,4.3,0.7651,0.33276
70.0,2.5,2.95,3.4,0.77,0.27581
75.0,1.85,2.35,2.85,0.7772,0.22927
80.0,1.35,1.68,2.0,0.7559,0.17774
85.0,1.05,1.55,2.05,0.7953,0.16114
90.0,0.8,1.33,1.85,0.8123,0.13947
95.0,0.6,1.13,1.65,0.825,0.1203
100.0,0.35,1.15,1.95,0.8728,0.11786
