date,A,AAL,AAP,AAPL,ABAX,ABBV,ABC,ABEO,ABMD,ABT,ACAD,ACHC,ACN,ACOR,ADAP,ADBE,ADI,ADM,ADMS,ADP
2018-05-01,66.24,43.36,115.58,169.1,67.49,102.07,89.2,17.3,310.5,58.82,16.48,35.78,151.92,23.45,13.04,224.08,88.86,45.03,29.82,118.8
2018-04-30,65.74,42.93,114.45,165.26,66.57,96.55,90.58,17.45,300.95,58.13,15.81,35.58,151.2,23.1,12.71,221.6,87.35,45.38,30.19,118.08
2018-04-27,66.28,43.4,116.34,162.32,66.36,98.73,93.07,17.8,301.74,59.56,16.28,36.15,152.39,23.4,13.08,221.9,87.68,46.05,30.17,119.88
2018-04-26,66.37,42.37,113.18,164.22,73.0,97.44,92.08,17.65,303.41,59.5,15.12,35.99,152.29,23.35,13.1,221.91,88.7,45.85,29.33,118.69
2018-04-25,65.8,45.25,107.82,163.65,70.86,91.87,91.43,17.3,293.2,58.65,15.2,37.7,150.09,22.9,12.52,217.32,87.77,45.84,28.44,116.7
2018-04-24,66.64,45.69,106.93,162.94,72.44,91.36,90.14,18.45,290.93,58.31,19.47,37.68,151.07,23.1,12.22,217.89,87.65,45.16,28.2,116.32
2018-04-23,68.07,46.68,105.52,165.24,72.51,93.17,90.74,20.0,302.65,58.84,19.92,37.76,153.04,23.35,12.29,225.3,88.0,45.49,28.13,117.1
2018-04-20,67.55,46.78,103.76,165.72,72.72,92.6,89.87,20.9,305.92,59.19,19.9,37.98,152.41,23.35,12.44,225.24,89.76,45.5,28.09,116.84
2018-04-19,67.97,46.88,105.18,172.8,73.3,93.01,91.69,20.05,306.45,59.88,19.66,39.16,154.59,23.4,12.11,227.62,89.85,45.79,27.67,117.75
2018-04-18,69.55,47.76,107.39,177.84,73.44,94.32,92.75,19.8,307.63,59.52,19.98,39.25,155.52,23.9,12.39,231.1,94.57,45.65,25.85,118.61
2018-04-17,68.44,45.75,108.2,178.24,73.86,93.59,91.04,19.3,304.43,59.8,19.88,38.9,154.24,23.9,12.34,231.16,95.17,45.69,25.01,117.89
2018-04-16,68.17,46.4,106.45,175.82,73.78,92.6,88.77,20.1,296.32,59.27,18.98,38.8,151.42,23.35,12.36,226.52,93.14,45.47,24.37,116.91
2018-04-13,67.21,45.87,106.61,174.73,72.21,91.83,86.82,19.75,296.74,58.49,18.9,38.8,150.13,23.35,12.45,224.06,92.78,45.2,24.11,115.27
2018-04-12,67.2,46.57,110.57,174.14,72.13,92.12,88.19,19.0,296.94,58.83,19.29,39.64,150.09,23.45,12.47,226.96,93.02,45.3,24.69,115.26
2018-04-11,66.08,45.4,110.93,172.44,71.75,92.68,89.09,18.15,296.4,58.17,19.1,39.74,148.4,23.5,11.57,223.63,90.8,44.13,24.73,115.58
2018-04-10,66.64,47.46,112.14,173.25,71.08,92.66,88.91,17.75,300.28,58.86,17.74,39.74,150.72,23.45,11.05,224.53,90.03,44.14,23.9,115.91
2018-04-09,65.19,49.82,110.35,170.05,69.43,89.55,86.79,16.55,288.12,57.94,16.5,39.28,146.95,23.15,10.47,219.17,87.99,44.22,22.61,114.44
2018-04-06,63.65,50.29,111.91,168.38,68.85,88.86,85.41,14.0,286.22,57.29,21.53,39.46,146.09,22.75,10.42,218.61,88.31,44.33,22.94,113.7
2018-04-05,65.68,52.14,116.39,172.8,70.91,91.26,87.38,14.35,292.13,59.57,22.13,40.71,150.24,22.95,10.84,223.54,90.94,44.43,24.15,117.51
2018-04-04,65.45,52.04,114.48,171.61,70.17,91.99,86.25,15.15,288.53,59.18,22.34,40.0,148.66,23.7,11.23,225.05,91.24,43.9,25.4,116.72
2018-04-03,65.42,51.47,111.91,168.39,68.8,89.66,83.93,14.0,278.07,58.72,21.2,39.23,147.49,22.95,10.84,215.93,89.52,43.12,24.6,114.04
2018-04-02,64.43,49.78,111.93,166.68,68.52,90.52,82.67,14.25,279.11,57.93,20.88,38.35,146.69,22.3,11.05,212.28,88.75,42.27,23.23,113.3
2018-03-29,66.75,51.96,118.55,167.78,70.62,93.68,86.21,14.35,290.99,59.63,22.47,39.18,152.16,23.65,11.23,216.08,91.13,43.37,23.9,113.48
2018-03-28,66.25,50.85,115.98,166.48,68.61,93.3,85.11,13.65,282.99,58.95,23.11,39.06,146.12,23.75,10.47,212.54,89.91,42.8,23.67,111.76
2018-03-27,66.85,50.9,115.01,168.34,69.75,91.07,84.01,14.0,286.43,59.99,22.68,39.07,147.56,23.6,11.16,213.8,91.05,42.87,23.73,112.26
2018-03-26,68.05,51.86,114.77,172.77,74.26,94.3,84.95,15.05,295.4,60.78,23.54,39.4,151.51,24.25,11.56,228.91,93.11,42.83,24.4,114.06
2018-03-23,65.91,51.01,110.84,164.94,72.45,96.46,84.03,14.05,283.99,59.21,22.57,39.16,146.06,22.85,11.5,215.02,87.7,42.05,23.82,109.2
2018-03-22,67.32,52.31,111.71,168.85,72.49,97.09,85.0,14.8,286.39,60.64,23.85,40.54,148.92,23.4,11.47,220.52,90.54,41.94,24.46,113.14
2018-03-21,69.25,54.09,115.18,171.27,73.81,111.3,89.5,15.75,292.31,62.12,24.66,41.36,160.61,24.15,11.4,226.85,92.8,42.62,25.8,116.36
2018-03-20,69.69,55.32,114.19,175.24,72.8,111.5,89.19,14.53,294.01,62.35,24.51,41.11,161.46,24.4,10.36,229.75,92.71,42.97,26.05,115.56
2018-03-19,69.19,54.62,115.81,175.3,73.06,110.88,93.0,13.98,287.98,61.96,24.58,40.79,159.22,24.55,11.06,222.18,93.5,43.06,26.09,114.48
2018-03-16,69.74,55.4,116.57,178.02,74.97,112.54,96.61,15.35,293.05,62.88,25.75,41.16,159.48,25.05,11.06,225.55,94.15,43.5,27.1,117.16
2018-03-15,70.02,55.17,117.04,178.65,74.34,113.75,97.36,15.25,294.57,62.29,25.21,41.71,161.44,24.05,10.94,218.87,93.94,43.26,26.45,116.48
2018-03-14,69.76,55.28,117.0,178.44,73.74,117.72,98.58,15.35,295.85,62.56,25.05,41.59,159.59,25.2,9.21,218.44,94.09,43.77,26.74,116.1
2018-03-13,70.52,56.23,118.94,179.97,72.68,118.52,100.6,15.1,293.17,62.9,24.98,41.65,161.07,25.6,8.74,219.76,94.66,44.24,26.57,117.39
2018-03-12,70.55,56.5,118.35,181.72,74.12,117.09,100.29,15.8,294.74,63.32,25.89,42.0,160.28,25.6,9.06,220.94,95.53,44.53,28.73,117.53
2018-03-09,70.97,56.07,118.8,179.98,71.69,118.07,99.0,15.3,294.52,63.3,25.33,41.1,160.1,25.65,9.09,221.11,94.73,43.3,27.69,118.83
2018-03-08,69.69,54.79,115.69,176.94,71.12,115.81,96.24,15.1,288.6,61.57,25.25,40.75,157.11,25.65,8.41,216.4,92.72,43.29,25.93,116.96
2018-03-07,69.54,54.11,116.71,175.03,71.44,113.54,95.6,15.75,285.38,61.0,25.4,41.14,157.16,25.85,8.0,216.86,92.26,43.03,25.68,114.55
2018-03-06,67.96,53.57,118.53,176.67,71.18,113.39,94.7,15.75,281.54,60.59,25.11,40.71,156.65,24.9,7.91,212.01,91.45,43.12,25.66,114.78
2018-03-05,67.4,53.19,116.3,176.82,69.51,114.47,94.9,15.4,279.27,60.08,24.83,39.75,157.46,25.95,7.9,211.16,90.67,42.72,25.93,115.03
2018-03-02,67.36,53.18,116.01,176.21,68.64,113.86,93.96,15.5,275.13,59.18,23.68,39.76,156.12,24.55,8.02,209.79,89.07,42.2,24.37,112.98
2018-03-01,67.23,53.48,117.45,175.0,66.14,112.67,93.3,14.0,265.71,58.51,22.98,37.85,154.78,24.35,8.04,206.03,87.85,41.25,24.92,113.17
2018-02-28,68.44,54.25,114.19,178.12,66.67,114.64,95.16,13.85,268.18,60.04,24.92,38.1,159.6,23.75,7.63,209.13,89.68,41.52,24.45,114.69
2018-02-27,68.85,54.26,109.74,178.39,68.22,117.05,97.64,13.95,271.25,60.26,31.16,38.06,161.13,24.2,7.69,208.82,91.78,41.64,24.86,115.83
2018-02-26,70.42,55.0,114.79,178.97,69.16,120.29,100.58,14.05,273.18,60.24,32.33,38.57,163.3,24.8,7.82,212.15,91.88,42.17,25.95,117.26
2018-02-23,70.54,53.39,116.26,175.5,68.49,117.53,98.42,13.45,268.45,59.42,31.52,38.55,161.52,26.05,7.88,209.74,89.9,42.57,26.02,117.01
2018-02-22,70.52,52.98,110.43,172.5,66.79,116.35,97.12,13.35,263.97,58.71,30.24,39.18,158.92,26.4,7.65,202.61,88.1,41.76,27.41,114.8
2018-02-21,71.09,52.78,113.94,171.07,68.32,116.7,98.57,11.7,268.25,58.71,30.43,36.23,159.06,26.1,7.83,202.09,87.95,42.12,27.36,115.46
2018-02-20,70.92,51.72,105.3,171.85,67.27,116.77,99.94,11.6,270.48,58.84,31.05,36.12,160.03,25.3,8.22,202.98,87.95,42.57,26.39,114.78
2018-02-16,71.81,51.58,107.51,172.43,68.9,117.38,99.4,12.5,267.74,59.88,30.92,36.32,161.24,25.8,8.62,201.56,85.64,43.13,33.77,115.54
2018-02-15,71.86,51.67,108.72,172.99,68.85,113.72,97.22,12.05,261.04,59.21,31.06,36.27,159.65,25.1,8.51,202.97,84.96,42.87,34.43,114.88
2018-02-14,69.54,51.07,108.96,167.37,67.63,111.92,96.02,11.45,255.47,58.0,30.6,35.66,158.39,25.6,8.23,197.13,84.69,41.5,35.04,112.09
2018-02-13,68.19,50.87,106.16,164.34,65.36,110.71,97.39,11.9,233.99,57.36,29.51,34.24,155.47,24.95,7.98,193.48,83.9,41.02,33.86,111.21
2018-02-12,68.28,50.09,109.42,162.71,65.39,110.78,89.1,12.6,233.72,57.13,28.87,33.74,153.59,24.75,7.96,192.15,84.61,40.95,33.81,111.04
2018-02-09,66.83,48.36,109.08,156.41,64.44,110.16,88.84,14.08,229.38,56.9,28.27,33.72,152.49,24.05,7.94,187.99,83.5,41.17,33.87,110.82
2018-02-08,64.91,48.6,109.57,154.52,62.69,107.37,91.19,15.55,229.5,56.0,28.35,34.02,149.19,23.85,8.36,185.16,82.25,41.03,35.28,107.66
2018-02-07,67.91,51.4,109.87,158.89,64.84,112.46,93.85,18.2,239.02,58.39,29.32,34.29,153.79,25.15,8.9,192.34,84.91,41.86,36.49,112.94
2018-02-06,68.3,51.18,112.14,162.37,65.47,110.06,91.18,15.95,232.11,58.58,28.8,34.26,153.34,24.9,8.47,194.47,88.08,41.67,36.58,112.33
2018-02-05,68.07,49.76,109.8,155.85,66.75,108.39,91.54,14.9,239.37,58.45,26.91,33.1,150.5,23.95,8.32,190.27,84.96,40.29,34.47,113.45
2018-02-02,71.09,52.0,113.87,159.85,70.44,113.99,95.65,15.1,248.2,61.39,28.96,34.61,155.53,25.3,8.52,195.64,88.65,41.11,35.96,117.92
2018-02-01,72.67,53.78,117.23,167.1,72.51,115.15,98.9,15.65,253.13,61.88,30.26,35.23,159.06,26.25,8.75,199.38,91.18,42.13,38.44,119.76
2018-01-31,73.27,54.22,116.93,166.75,71.48,111.07,99.28,15.25,235.0,61.86,29.91,34.08,159.29,25.95,8.63,199.76,91.4,42.62,37.84,122.95
2018-01-30,72.83,52.49,119.21,166.29,74.05,114.69,102.06,15.3,235.06,62.14,30.65,34.26,158.3,26.45,8.86,196.9,91.08,42.15,39.26,120.15
2018-01-29,74.36,52.58,122.83,167.28,75.82,121.06,104.68,16.3,236.65,63.01,31.74,34.29,159.78,27.5,9.05,198.23,93.29,42.78,39.66,120.1
2018-01-26,74.65,52.97,123.58,170.81,75.53,121.95,105.07,16.25,238.89,63.12,32.13,34.32,161.13,27.25,9.08,201.3,93.35,43.25,41.73,121.66
2018-01-25,73.7,52.95,120.86,170.42,64.29,107.19,103.96,17.0,236.32,62.92,30.68,33.95,159.38,26.65,9.13,197.51,91.5,42.56,40.97,119.97
2018-01-24,73.42,54.68,120.93,173.51,64.92,104.43,104.21,15.4,232.95,61.42,30.57,33.55,159.2,27.1,9.0,197.78,94.85,42.51,40.61,120.2
2018-01-23,73.28,58.18,119.04,176.32,64.17,104.3,102.41,15.4,230.27,58.95,30.32,33.7,159.47,27.8,9.43,200.09,95.97,42.28,42.65,121.43
2018-01-22,73.32,57.99,117.97,176.28,62.57,105.4,102.26,14.85,228.18,59.28,28.93,34.23,160.02,27.55,8.5,197.84,96.15,42.42,40.79,122.1
2018-01-19,72.91,57.95,116.96,177.74,61.02,103.57,99.67,14.6,228.29,59.03,26.92,34.01,160.34,27.2,8.09,195.73,95.64,40.64,38.19,120.78
