date,XBI,SRPT,CRBP,NBIX
2018-06-25,95.94,137.04,5.72,99.07
2018-06-22,99.08,140.33,5.9,101.79
2018-06-21,99.06,149.65,5.8,103.45
2018-06-20,101.15,153.69,6.0,105.99
2018-06-19,98.85,143.93,6.05,102.72
2018-06-18,97.45,105.24,6.1,102.29
2018-06-15,97.18,102.29,6.1,102.32
2018-06-14,97.53,98.78,6.1,100.06
2018-06-13,97.12,96.77,6.15,99.51
2018-06-12,96.87,98.76,6.05,101.07
2018-06-11,95.86,98.02,5.85,99.16
2018-06-08,96.24,97.61,5.75,99.31
2018-06-07,96.49,96.23,5.9,98.69
2018-06-06,97.71,97.57,5.95,99.7
2018-06-05,97.11,98.74,6.0,99.59
2018-06-04,96.38,97.98,5.9,100.52
2018-06-01,96.59,95.85,5.95,98.49
2018-05-31,94.61,93.85,6.2,96.26
2018-05-30,94.1,94.44,6.0,95.64
2018-05-29,92.42,92.45,5.9,94.18
2018-05-25,92.94,91.65,5.9,94.2
2018-05-24,92.67,89.99,5.93,94.64
2018-05-23,92.39,88.96,6.05,94.08
2018-05-22,92.16,89.22,5.9,93.42
2018-05-21,91.73,90.83,5.95,91.67
2018-05-18,93.51,93.48,6.18,93.25
2018-05-17,93.72,91.85,6.0,92.49
2018-05-16,93.4,93.95,6.25,93.87
2018-05-15,92.23,92.67,6.3,92.92
2018-05-14,92.76,93.1,5.75,91.01
2018-05-11,91.6,92.89,5.47,90.4
2018-05-10,88.99,90.32,5.95,87.83
2018-05-09,89.75,90.47,6.4,86.69
2018-05-08,88.02,85.66,6.25,83.03
2018-05-07,88.45,90.2,6.35,83.59
2018-05-04,87.32,89.75,6.2,82.93
2018-05-03,85.87,78.17,6.2,80.38
2018-05-02,87.4,78.41,6.3,80.08
2018-05-01,87.86,77.85,5.95,84.39
2018-04-30,86.93,76.36,5.95,81.08
2018-04-27,88.37,78.53,6.4,81.68
2018-04-26,87.79,78.95,6.45,79.44
2018-04-25,86.3,77.8,6.3,78.16
2018-04-24,86.4,76.4,6.35,78.43
2018-04-23,88.01,78.31,6.65,81.36
2018-04-20,88.88,79.99,6.65,79.4
2018-04-19,89.16,78.55,6.75,78.18
2018-04-18,90.69,80.96,6.8,79.86
2018-04-17,91.07,79.87,6.65,76.87
2018-04-16,88.85,78.46,6.6,75.3
2018-04-13,89.53,80.8,6.3,75.33
2018-04-12,90.4,82.81,6.3,75.89
2018-04-11,89.1,80.39,6.2,76.49
2018-04-10,88.42,78.91,6.35,77.5
2018-04-09,85.06,75.45,6.1,79.18
2018-04-06,82.85,71.74,5.65,76.85
2018-04-05,85.42,72.86,5.8,79.91
2018-04-04,87.17,73.96,6.0,79.97
2018-04-03,84.3,72.57,5.7,77.23
2018-04-02,83.8,71.78,5.9,78.27
2018-03-29,87.68,74.09,6.1,82.93
2018-03-28,86.96,71.73,5.6,82.83
2018-03-27,87.11,76.37,5.88,81.28
2018-03-26,91.0,79.12,6.4,83.06
2018-03-23,88.55,77.8,6.25,81.5
2018-03-22,90.21,78.1,6.7,83.83
2018-03-21,92.98,79.91,7.0,84.83
2018-03-20,92.06,80.52,6.9,84.89
2018-03-19,91.84,78.78,7.05,85.13
2018-03-16,93.51,80.92,7.1,87.92
2018-03-15,93.92,81.22,6.9,91.73
2018-03-14,95.4,82.27,6.8,92.3
2018-03-13,95.82,80.9,6.75,90.36
2018-03-12,96.86,79.1,6.85,90.59
2018-03-09,96.33,74.36,7.1,92.43
2018-03-08,94.87,74.58,7.0,91.96
2018-03-07,94.71,74.33,6.95,91.43
2018-03-06,93.54,71.4,6.75,90.0
2018-03-05,93.27,71.45,6.95,90.2
2018-03-02,91.85,67.96,7.1,86.06
2018-03-01,89.41,62.11,7.25,84.14
2018-02-28,90.25,62.77,7.4,84.43
2018-02-27,91.98,64.53,7.65,84.73
2018-02-26,93.08,64.98,7.8,83.71
2018-02-23,92.43,63.91,7.7,84.27
2018-02-22,91.06,63.01,7.55,85.42
2018-02-21,90.94,63.22,7.8,84.84
2018-02-20,90.72,62.87,7.7,84.58
2018-02-16,92.36,64.0,7.95,85.25
2018-02-15,92.62,63.14,8.1,85.57
2018-02-14,91.54,59.57,7.3,85.38
2018-02-13,89.2,58.87,7.28,83.69
2018-02-12,88.68,58.56,7.05,82.17
2018-02-09,86.91,55.14,7.05,79.28
2018-02-08,86.71,57.17,6.75,78.57
2018-02-07,91.31,60.95,7.15,82.75
2018-02-06,90.94,62.29,6.95,82.48
2018-02-05,88.23,60.6,6.75,81.49
2018-02-02,91.78,63.12,7.05,83.33
2018-02-01,93.5,65.1,7.1,86.02
2018-01-31,93.26,65.54,7.5,85.47
2018-01-30,94.91,64.75,8.15,87.04
2018-01-29,96.91,67.94,9.25,90.67
2018-01-26,96.07,67.58,8.9,88.87
2018-01-25,95.29,67.61,8.9,86.91
2018-01-24,94.22,65.78,9.1,88.73
2018-01-23,95.7,67.02,9.0,87.87
2018-01-22,93.78,65.65,8.8,85.19
2018-01-19,88.81,62.38,8.25,80.68
2018-01-18,87.78,61.84,7.95,78.56
2018-01-17,87.91,61.17,8.2,75.88
2018-01-16,86.73,60.15,7.9,76.09
2018-01-12,89.51,61.52,8.2,81.37
2018-01-11,89.03,58.99,8.3,79.0
2018-01-10,88.48,59.14,8.05,79.86
2018-01-09,87.38,56.15,8.05,79.54
2018-01-08,85.21,54.02,8.1,77.81
2018-01-05,86.93,54.87,7.8,81.73
2018-01-04,87.24,57.81,8.35,80.28
2018-01-03,88.26,58.55,8.5,82.98
2018-01-02,87.1,58.25,7.95,79.3
2017-12-29,84.77,55.64,7.1,77.59
2017-12-28,86.09,56.61,7.35,75.39
2017-12-27,85.78,56.75,7.25,73.74
2017-12-26,85.07,56.51,7.1,71.73
2017-12-22,84.49,55.97,6.82,71.83
2017-12-21,82.98,55.27,7.0,71.68
2017-12-20,82.04,55.05,6.85,71.41
2017-12-19,81.46,54.21,6.7,68.88
2017-12-18,81.72,54.09,6.8,70.57
2017-12-15,81.72,52.6,7.15,70.49
2017-12-14,81.19,53.65,7.3,70.42
2017-12-13,82.78,54.09,7.2,70.97
2017-12-12,81.56,53.04,7.05,70.11
2017-12-11,82.93,54.26,7.05,70.59
2017-12-08,83.79,54.26,7.55,73.75
2017-12-07,82.14,53.72,7.5,72.5
